Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
United States of America,Lake Ronkonkoma,52,Moderate,1,Good,26,Good,13,Good,52,Moderate,40.8297,-73.1128,2024-03-17 03:00:00
India,Leh,30,Good,0,Good,30,Good,0,Good,17,Good,34.1642,77.5847,2024-03-17 04:00:00
United States of America,Leisure City,58,Moderate,1,Good,16,Good,9,Good,58,Moderate,25.4935,-80.4363,2024-03-17 05:00:00
Poland,Leszno,31,Good,1,Good,26,Good,2,Good,31,Good,51.8458,16.5806,2024-03-17 06:00:00
United States of America,Louisville,84,Moderate,1,Good,37,Good,4,Good,84,Moderate,38.1663,-85.6485,2024-03-17 07:00:00
Czechia,Louny,51,Moderate,1,Good,23,Good,6,Good,51,Moderate,50.3571,13.7968,2024-03-17 08:00:00
India,Malaut,500,Hazardous,1,Good,43,Good,2,Good,487,Hazardous,30.19,74.499,2024-03-17 09:00:00
Turkey,Manavgat,51,Moderate,2,Good,29,Good,3,Good,51,Moderate,36.7833,31.4333,2024-03-17 10:00:00
Brazil,Maraial,36,Good,0,Good,16,Good,2,Good,36,Good,-8.8028,-35.8289,2024-03-17 11:00:00
India,Katangi,153,Unhealthy,1,Good,38,Good,0,Good,153,Unhealthy,23.4412,79.7962,2024-03-17 12:00:00
United States of America,Kennett,79,Moderate,2,Good,18,Good,8,Good,79,Moderate,36.2403,-90.0481,2024-03-17 13:00:00
United States of America,Irondequoit,45,Good,1,Good,34,Good,5,Good,45,Good,43.2096,-77.5705,2024-03-17 14:00:00
United States of America,Issaquah,64,Moderate,2,Good,16,Good,14,Good,64,Moderate,47.5439,-122.0471,2024-03-17 15:00:00
Brazil,Itaberaba,16,Good,0,Good,11,Good,0,Good,16,Good,-12.5278,-40.3069,2024-03-17 16:00:00
India,Jammalamadugu,54,Moderate,0,Good,26,Good,0,Good,54,Moderate,14.85,78.38,2024-03-17 17:00:00
Cuba,Jatibonico,51,Moderate,1,Good,21,Good,2,Good,51,Moderate,21.9464,-79.1675,2024-03-17 18:00:00
United States of America,Jenks,52,Moderate,1,Good,31,Good,2,Good,52,Moderate,35.9981,-95.9736,2024-03-17 19:00:00
