Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,44.7444,44.2031,2023-01-01 00:00:00
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-5.29,-44.49,2023-01-01 01:00:00
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,37.1667,15.1833,2023-01-01 02:00:00
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,53.0167,20.8833,2023-01-01 03:00:00
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,16.1005,-88.8074,2023-01-01 04:00:00
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,51.0761,4.2803,2023-01-01 05:00:00
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,44.05,43.0667,2023-01-01 06:00:00
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,21.95,108.6167,2023-01-01 07:00:00
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,52.3833,6.2667,2023-01-01 08:00:00
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,50.3892,3.4858,2023-01-01 09:00:00
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,37.3833,14.7,2023-01-01 10:00:00
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,33.5722,-112.0892,2023-01-01 11:00:00
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,52.0667,21.0167,2023-01-01 12:00:00
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,-22.5128,-44.0008,2023-01-01 13:00:00
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,9.7919,-74.7872,2023-01-01 14:00:00
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,43.9333,23.0833,2023-01-01 15:00:00
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,56.45,60.1833,2023-01-01 16:00:00
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,46.9061,6.3547,2023-01-01 17:00:00
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,42.6493,-83.2878,2023-01-01 18:00:00
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,-0.0206,109.3414,2023-01-01 19:00:00
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,-22.7558,-51.3789,2023-01-01 20:00:00
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,61.4833,21.8,2023-01-01 21:00:00
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,-33.9581,25.6,2023-01-01 22:00:00
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,29.9765,-93.9459,2023-01-01 23:00:00
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,51.5906,-3.7986,2023-01-02 00:00:00
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,34.1754,-103.3565,2023-01-02 01:00:00
United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,47.7213,-116.9384,2023-01-02 02:00:00
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,-22.2281,-45.9336,2023-01-02 03:00:00
Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,44.55,135.5833,2023-01-02 04:00:00
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,26.17,85.9,2023-01-02 05:00:00
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,39.7805,-84.2003,2023-01-02 06:00:00
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,50.9833,3.5333,2023-01-02 07:00:00
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,18.55,-72.3,2023-01-02 08:00:00
United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,32.2631,-107.7525,2023-01-02 09:00:00
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,33.2175,-97.1418,2023-01-02 10:00:00
United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,30.395,-86.4701,2023-01-02 11:00:00
India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,12.127,78.158,2023-01-02 12:00:00
Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,8.5872,123.3408,2023-01-02 13:00:00
Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,56.6167,23.2667,2023-01-02 14:00:00
United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,42.9004,-85.7564,2023-01-02 15:00:00
Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,51.7667,5.7333,2023-01-02 16:00:00
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,31.8393,-111.0009,2023-01-02 17:00:00
United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,42.9371,-88.0018,2023-01-02 18:00:00
Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,4.0833,-74.9167,2023-01-02 19:00:00
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,42.2,14.2167,2023-01-02 20:00:00
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,51.2365,-0.5703,2023-01-02 21:00:00
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,48.05,39.9167,2023-01-02 22:00:00
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,38.7931,-90.3899,2023-01-02 23:00:00
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,49.5053,8.6033,2023-01-03 00:00:00
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,51.3167,6.9667,2023-01-03 01:00:00
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,51.7526,-0.4692,2023-01-03 02:00:00
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,40.7637,-73.5245,2023-01-03 03:00:00
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,50.7422,8.2039,2023-01-03 04:00:00
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,30.25,120.1675,2023-01-03 05:00:00
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,54.7972,9.3764,2023-01-03 06:00:00
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.7431,-74.1531,2023-01-03 07:00:00
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,52.2167,7.9167,2023-01-03 08:00:00
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,50.6092,2.9869,2023-01-03 09:00:00
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,51.019,-3.1,2023-01-03 10:00:00
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,-37.6833,176.1667,2023-01-03 11:00:00
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,41.25,14.0667,2023-01-03 12:00:00
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,18.6057,84.2355,2023-01-03 13:00:00
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,-22.5328,-52.1678,2023-01-03 14:00:00
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,20.8794,-103.8356,2023-01-03 15:00:00
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,42.6589,13.7039,2023-01-03 16:00:00
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,39.1467,117.2056,2023-01-03 17:00:00
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,10.7167,123.5167,2023-01-03 18:00:00
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,35.7996,139.4686,2023-01-03 19:00:00
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,19.2925,-99.6569,2023-01-03 20:00:00
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,-7.7764,-34.8919,2023-01-03 21:00:00
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,-15.66,-40.0658,2023-01-03 22:00:00
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,-18.4167,-49.2167,2023-01-03 23:00:00
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,13.7333,-89.6667,2023-01-04 00:00:00
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,42.5633,47.8636,2023-01-04 01:00:00
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,23.1667,79.9333,2023-01-04 02:00:00
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,-13.5308,-39.9708,2023-01-04 03:00:00
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,51.9667,17.5,2023-01-04 04:00:00
Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,8.65,124.75,2023-01-04 05:00:00
Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,7.84,4.486,2023-01-04 06:00:00
Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,61.1833,28.7667,2023-01-04 07:00:00
Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,-26.8978,-49.2319,2023-01-04 08:00:00
Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,14.2,120.8833,2023-01-04 09:00:00
Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,-14.1628,-40.0058,2023-01-04 10:00:00
Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,7.9667,3.6,2023-01-04 11:00:00
Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,18.0292,-95.5264,2023-01-04 12:00:00
Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,-3.9689,-38.5278,2023-01-04 13:00:00
Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,-21.0108,-40.8339,2023-01-04 14:00:00
South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,4.4081,32.575,2023-01-04 15:00:00
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,40.2237,-74.7641,2023-01-04 16:00:00
United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,18.3599,-66.0096,2023-01-04 17:00:00
Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,53.2667,-7.5,2023-01-04 18:00:00
Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,39.1064,39.5472,2023-01-04 19:00:00
United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,44.1565,-87.5824,2023-01-04 20:00:00
Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,55.8667,72.2,2023-01-04 21:00:00
India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,23.5247,80.8372,2023-01-04 22:00:00
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,33.9209,-118.2356,2023-01-04 23:00:00
United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,42.0771,-87.7282,2023-01-05 00:00:00
United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,38.9395,-77.2842,2023-01-05 01:00:00
United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,42.132,-83.2374,2023-01-05 02:00:00
China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,30.1697,121.2665,2023-01-05 03:00:00
China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy,33.3936,120.1339,2023-01-05 04:00:00
Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,0.7675,24.4414,2023-01-05 05:00:00
China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate,42.9044,129.5067,2023-01-05 06:00:00
United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good,42.8901,-97.3927,2023-01-05 07:00:00
Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate,50.9667,7.8667,2023-01-05 08:00:00
Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate,51.0,3.8833,2023-01-05 09:00:00
Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,60.7029,-135.0691,2023-01-05 10:00:00
Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good,52.9779,-6.033,2023-01-05 11:00:00
Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,47.4667,9.05,2023-01-05 12:00:00
Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate,52.9,8.4333,2023-01-05 13:00:00
United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate,41.2399,-77.037,2023-01-05 14:00:00
United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate,42.4239,-88.1844,2023-01-05 15:00:00
Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,55.8333,12.0666,2023-01-05 16:00:00
United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good,38.7601,-76.9642,2023-01-05 17:00:00
Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good,51.3484,9.5256,2023-01-05 18:00:00
Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good,43.342,142.3832,2023-01-05 19:00:00
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,27.9814,116.3577,2023-01-05 20:00:00
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good,55.6194,-2.8033,2023-01-05 21:00:00
Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good,50.9831,6.0,2023-01-05 22:00:00
Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good,52.4183,9.5981,2023-01-05 23:00:00
Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,9.3,13.4,2023-01-06 00:00:00
Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good,51.7,4.8586,2023-01-06 01:00:00
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,-28.7744,114.6089,2023-01-06 02:00:00
Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,49.2167,8.3667,2023-01-06 03:00:00
Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups,4.305,-74.8017,2023-01-06 04:00:00
United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good,53.4758,-2.5943,2023-01-06 05:00:00
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,41.15,-8.5333,2023-01-06 06:00:00
India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous,24.3785,81.2964,2023-01-06 07:00:00
United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate,42.064,-88.1468,2023-01-06 08:00:00
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,35.6526,-78.8399,2023-01-06 09:00:00
Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good,51.8297,9.4483,2023-01-06 10:00:00
Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,8.15,39.35,2023-01-06 11:00:00
Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate,39.3167,8.5333,2023-01-06 12:00:00
Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good,33.65,130.6833,2023-01-06 13:00:00
Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate,37.4363,137.2605,2023-01-06 14:00:00
Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,46.255,20.145,2023-01-06 15:00:00
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate,34.6919,50.0131,2023-01-06 16:00:00
Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good,14.1,120.9333,2023-01-06 17:00:00
Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate,35.3328,137.1316,2023-01-06 18:00:00
Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good,36.7192,140.7167,2023-01-06 19:00:00
Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good,34.7914,133.6164,2023-01-06 20:00:00
Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good,8.4488,125.7869,2023-01-06 21:00:00
Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good,56.7333,37.5333,2023-01-06 22:00:00
United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate,25.7556,-80.4016,2023-01-06 23:00:00
Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,32.8536,35.1978,2023-01-07 00:00:00
Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good,6.6167,124.75,2023-01-07 01:00:00
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,-7.215,107.8856,2023-01-07 02:00:00
Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good,38.5022,42.2814,2023-01-07 03:00:00
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate,50.9452,-2.637,2023-01-07 04:00:00
China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups,38.7299,112.7134,2023-01-07 05:00:00
China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy,35.0304,110.998,2023-01-07 06:00:00
Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate,50.8833,4.4667,2023-01-07 07:00:00
Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate,50.9722,4.4222,2023-01-07 08:00:00
China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate,37.7527,114.7775,2023-01-07 09:00:00
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,22.5333,113.35,2023-01-07 10:00:00
China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy,29.7169,120.2314,2023-01-07 11:00:00
Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy,19.2833,-99.7333,2023-01-07 12:00:00
Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good,51.1667,82.2,2023-01-07 13:00:00
Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate,45.4,8.9167,2023-01-07 14:00:00
Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups,5.3167,-4.0333,2023-01-07 15:00:00
United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate,34.0566,-84.6716,2023-01-07 16:00:00
United States of America,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,39.0017,-76.9649,2023-01-07 17:00:00
United States of America,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate,33.2198,-86.8225,2023-01-07 18:00:00
Russian Federation,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good,43.0333,44.2333,2023-01-07 19:00:00
Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good,50.8761,5.3078,2023-01-07 20:00:00
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,48.55,-71.65,2023-01-07 21:00:00
Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good,-10.3167,150.4333,2023-01-07 22:00:00
Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good,-25.1764,46.0833,2023-01-07 23:00:00
China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate,36.3619,119.1072,2023-01-08 00:00:00
Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good,-14.8833,50.25,2023-01-08 01:00:00
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,37.9787,-121.796,2023-01-08 02:00:00
Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups,5.2789,-0.7397,2023-01-08 03:00:00
Russian Federation,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good,51.9333,43.5,2023-01-08 04:00:00
Russian Federation,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good,56.1,49.8833,2023-01-08 05:00:00
Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good,40.2975,44.3617,2023-01-08 06:00:00
Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups,14.175,-89.7417,2023-01-08 07:00:00
Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate,42.5833,13.9833,2023-01-08 08:00:00
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,55.458,-4.629,2023-01-08 09:00:00
Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good,52.2167,5.2833,2023-01-08 10:00:00
Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good,51.1081,10.6467,2023-01-08 11:00:00
Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous,29.9928,73.2536,2023-01-08 12:00:00
Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate,16.073,102.7362,2023-01-08 13:00:00
Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good,17.5965,120.6179,2023-01-08 14:00:00
Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good,53.7167,10.2667,2023-01-08 15:00:00
United States of America,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate,36.7365,-95.9456,2023-01-08 16:00:00
Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate,34.62,71.97,2023-01-08 17:00:00
Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate,4.4667,101.05,2023-01-08 18:00:00
Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups,45.2981,10.475,2023-01-08 19:00:00
Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate,38.9,16.6,2023-01-08 20:00:00
Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate,11.7833,124.8833,2023-01-08 21:00:00
Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good,0.0439,-78.1561,2023-01-08 22:00:00
Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good,44.2,12.3944,2023-01-08 23:00:00
Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good,-34.6333,-60.4667,2023-01-09 00:00:00
Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good,-6.2167,-77.85,2023-01-09 01:00:00
China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy,41.5757,120.4486,2023-01-09 02:00:00
Russian Federation,Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good,54.2333,83.3667,2023-01-09 03:00:00
Russian Federation,Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good,44.2222,42.0575,2023-01-09 04:00:00
Mexico,Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate,17.55,-99.5,2023-01-09 05:00:00
United States of America,Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate,38.8597,-104.6995,2023-01-09 06:00:00
Brazil,Coari,46,Good,1,Good,2,Good,0,Good,46,Good,-4.085,-63.1408,2023-01-09 07:00:00
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good,55.8625,-4.0266,2023-01-09 08:00:00
Ireland,Cobh,24,Good,0,Good,24,Good,1,Good,16,Good,51.851,-8.2967,2023-01-09 09:00:00
Brazil,Colatina,45,Good,1,Good,14,Good,2,Good,45,Good,-19.5389,-40.6308,2023-01-09 10:00:00
Dominican Republic,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate,18.8833,-71.7,2023-01-09 11:00:00
Italy,Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups,45.8103,9.0861,2023-01-09 12:00:00
Brazil,Conde,19,Good,0,Good,19,Good,0,Good,11,Good,-11.8139,-37.6108,2023-01-09 13:00:00
United Kingdom of Great Britain and Northern Ireland,Consett,31,Good,0,Good,31,Good,2,Good,22,Good,54.85,-1.83,2023-01-09 14:00:00
United States of America,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy,26.0463,-80.2862,2023-01-09 15:00:00
United States of America,Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good,31.1192,-97.914,2023-01-09 16:00:00
Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good,-27.4833,-58.8167,2023-01-09 17:00:00
Italy,Crevalcore,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups,44.7167,11.15,2023-01-09 18:00:00
Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate,38.9558,45.6308,2023-01-09 19:00:00
Spain,Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good,43.2883,-8.3894,2023-01-09 20:00:00
India,Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate,15.1773,73.9939,2023-01-09 21:00:00
Brazil,Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good,-18.7558,-44.4308,2023-01-09 22:00:00
